age,rq1,rq2,rq3,st_5
22,1,2,1,9
15,5,3,2,8
26,6,6,10,11
29,3,5,3,13
29,5,5,7,12
40,1,3,1,12
26,7,8,8,12
27,5,5,10,11
19,4,5,4,13
19,9,9,8,9
54,7,6,5,8
28,5,10,7,9
25,8,8,5,10
34,10,10,10,13
31,4,7,7,10
23,4,4,4,8
33,4,8,4,9
37,5,3,5,14
22,10,10,10,8
30,1,1,1,14
26,9,9,9,13
19,5,10,9,8
24,10,3,7,13
56,4,3,3,13
17,5,5,5,10
27,3,3,2,10
21,8,9,7,10
30,4,5,5,8
22,8,3,5,9
24,3,4,5,10
13,5,9,8,13
53,10,10,10,9
20,5,5,4,8
49,9,9,9,8
21,7,6,7,13
32,8,1,7,9
26,10,2,10,12
14,4,4,3,11
34,7,7,7,11
22,7,3,10,11
17,7,6,7,12
21,3,2,8,12
18,10,10,10,8
22,4,4,4,9
14,5,2,1,12
22,1,1,9,15
19,6,7,7,9
19,1,2,2,13
36,7,7,7,9
28,1,5,5,10
19,1,7,1,15
59,1,2,4,13
50,5,5,6,12
23,5,5,4,10
20,8,3,6,11
57,7,5,5,12
52,8,8,8,9
21,7,7,7,10
24,8,8,7,13
29,10,10,10,10
25,6,8,6,15
50,10,8,9,10
26,4,4,4,8
29,8,1,10,15
21,10,3,8,13
18,10,8,10,8
21,8,8,7,9
45,4,4,4,10
27,5,5,7,8
27,2,1,4,8
25,5,8,9,8
27,10,10,8,8
33,4,4,5,9
58,10,10,10,15
42,7,7,2,15
53,10,10,9,9
26,6,6,7,8
24,2,6,7,12
25,8,8,5,9
23,6,7,7,8
20,3,6,4,11
21,7,7,10,11
34,1,5,3,14
33,9,9,9,15
44,4,4,6,8
51,7,7,8,9
21,5,4,7,10
23,3,7,7,10
16,7,4,7,13
19,6,6,4,11
19,10,10,8,8
17,3,4,6,10
33,5,5,5,10
22,6,5,10,10
50,10,2,8,12
42,7,5,5,8
18,6,7,10,9
26,1,1,1,10
24,5,3,5,14
25,3,3,4,11
42,4,4,9,11
37,7,1,3,13
35,8,1,10,9
25,2,5,7,13
57,7,7,7,13
25,3,3,2,10
96,7,9,7,8
26,1,1,1,9
26,3,3,2,8
48,5,5,5,8
40,6,6,6,12
40,1,1,6,9
20,1,3,5,9
28,9,9,9,9
32,2,1,8,15
82,3,3,3,8
26,4,2,4,8
53,9,9,9,11
19,3,8,5,13
52,10,8,10,13
26,10,10,8,10
38,3,5,5,10
20,8,5,6,8
24,10,10,10,10
37,7,8,8,11
14,4,1,3,11
25,5,5,7,8
23,1,1,1,15
44,10,10,10,13
24,7,7,7,10
34,9,9,10,8
74,4,4,4,8
26,5,10,8,9
49,8,7,10,8
30,5,4,5,9
26,1,1,10,14
26,2,2,5,10
17,4,4,4,10
26,5,5,8,9
48,5,2,8,9
13,3,3,3,8
19,7,7,8,9
45,5,2,5,13
36,4,4,4,8
33,4,4,8,8
23,6,6,9,8
24,5,8,5,13
19,5,9,6,13
28,7,6,9,8
21,5,4,6,8
30,6,6,8,8
20,10,10,10,12
16,6,5,8,10
29,5,10,10,11
70,5,5,5,8
15,3,4,1,8
13,7,9,10,8
30,5,5,6,8
20,7,7,8,10
32,5,5,3,15
57,5,6,6,10
33,1,1,2,11
16,1,1,1,12
25,5,5,5,14
29,2,2,8,13
22,7,4,7,8
26,8,10,3,13
65,10,8,8,8
24,7,5,10,8
29,8,7,8,9
23,6,6,6,8
57,10,10,10,8
16,4,5,5,9
38,5,5,5,14
18,5,3,6,9
47,1,9,3,10
93,8,9,10,10
20,5,8,4,8
23,1,1,1,15
28,9,9,9,9
20,7,7,5,8
28,7,7,7,10
53,10,10,9,8
18,4,4,4,11
25,3,9,5,9
57,9,9,9,11
43,7,7,6,11
41,10,10,10,12
18,4,3,3,13
40,1,2,3,15
21,7,7,7,8
24,6,3,6,8
56,7,9,6,11
19,5,5,9,11
41,6,6,5,10
19,5,5,7,8
37,6,6,4,8
31,2,8,3,14
22,8,3,5,9
36,8,10,9,13
26,5,5,7,12
18,5,5,8,11
43,9,7,10,10
43,1,1,2,15
23,6,6,8,11
16,6,2,5,10
38,10,9,9,10
20,7,5,10,8
24,8,9,10,10
28,7,7,8,13
29,5,7,3,12
21,5,10,5,8
32,1,1,1,15
31,1,5,5,10
20,9,8,9,12
53,5,5,4,8
30,0,0,0,8
19,4,5,6,12
37,3,6,6,10
35,8,6,8,8
21,3,7,6,8
33,6,8,6,13
29,2,5,3,12
57,6,3,5,10
18,5,5,5,9
42,10,10,10,13
26,6,8,7,8
31,6,7,7,14
20,3,3,5,10
29,4,3,6,14
33,2,6,6,10
33,6,6,6,11
55,5,1,2,8
22,9,9,9,8
21,1,1,10,13
65,5,5,5,11
20,6,9,6,9
63,7,7,7,10
20,3,4,4,9
23,8,5,8,9
27,8,8,3,14
24,5,7,8,12
19,7,7,5,11
18,10,7,10,8
26,10,5,10,12
35,9,8,9,9
20,1,1,2,9
75,6,10,10,8
25,5,2,3,10
56,8,9,8,12
36,2,2,5,9
33,4,2,7,8
64,6,6,7,8
34,6,4,6,8
22,10,10,10,9
21,5,5,4,9
22,1,5,3,10
52,6,7,6,8
21,4,4,6,8
29,4,6,5,8
31,8,5,8,8
42,7,7,7,9
24,6,6,6,11
25,7,8,7,11
27,2,2,3,15
54,8,8,8,9
22,1,5,5,10
56,3,6,2,12
39,1,2,2,13
34,8,7,9,10
25,1,2,1,12
38,6,5,6,8
59,6,8,8,9
37,2,5,5,11
27,9,9,9,10
25,3,3,5,10
56,9,9,8,15
19,7,1,8,11
42,8,4,6,8
27,7,7,3,12
14,8,10,7,9
35,1,2,3,8
23,7,6,10,10
21,3,1,5,12
24,10,1,10,15
27,10,10,10,9
18,5,6,7,9
40,5,4,3,10
18,5,1,8,11
25,1,5,3,15
23,2,2,5,10
12,1,1,1,15
23,10,10,10,10
34,6,4,5,9
67,4,3,2,9
23,7,7,7,12
18,8,6,8,8
21,1,1,6,13
31,9,5,8,12
20,2,2,10,11
69,8,8,8,8
60,7,7,8,8
24,5,4,6,8
14,6,5,5,9
20,10,10,10,9
21,9,4,5,10
48,5,1,2,10
18,3,4,7,11
43,10,10,10,10
27,5,8,8,10
28,6,7,6,11
26,4,4,4,12
23,8,8,10,8
58,1,6,7,8
47,4,4,4,8
26,7,5,7,14
18,1,5,2,11
25,7,7,8,8
29,5,5,7,15
21,2,1,1,9
49,10,10,10,12
46,10,10,10,9
37,5,6,5,9
22,4,3,5,12
18,3,2,2,11
28,8,7,8,10
18,2,2,8,11
25,10,10,8,8
27,5,8,8,12
23,8,8,10,9
31,7,7,7,9
19,3,8,3,8
14,1,5,3,8
59,4,2,3,11
29,6,3,8,9
19,5,10,10,12
27,2,2,5,9
14,5,7,5,10
15,3,3,5,12
19,5,5,5,8
40,5,5,5,14
19,4,10,8,8
32,5,5,5,13
28,1,9,5,13
15,5,5,8,8
60,9,9,9,10
21,6,5,8,9
20,4,4,4,12
83,8,8,8,9
16,1,1,1,12
36,1,9,9,13
19,10,10,9,9
45,3,3,3,8
25,4,5,5,11
20,3,10,5,11
37,5,7,4,8
28,6,6,5,12
20,9,3,8,9
24,6,6,7,15
17,8,8,9,12
25,5,4,8,9
38,1,1,1,13
19,5,3,5,8
40,10,10,10,8
26,1,1,2,10
25,3,5,5,9
23,5,5,7,12
16,5,5,10,8
26,7,7,7,12
38,3,10,9,8
27,2,2,2,10
14,10,10,10,10
19,5,2,1,11
14,4,4,7,9
16,6,5,8,8
24,7,7,10,12
45,5,5,7,12
18,7,7,6,11
21,9,9,8,14
35,1,1,9,12
24,8,7,9,10
27,5,5,5,9
19,1,5,4,9
22,5,6,5,8
49,7,7,7,8
15,8,9,10,11
19,3,4,6,12
37,10,10,5,9
30,9,9,9,10
25,4,3,1,9
16,3,7,7,12
16,5,6,5,9
23,8,5,9,15
74,9,8,9,8
19,4,4,7,8
51,8,8,6,10
32,5,1,3,15
53,2,3,4,12
38,4,6,8,8
46,10,1,6,14
21,8,8,7,8
28,5,1,2,10
32,10,2,5,11
20,5,5,6,10
15,3,1,6,10
20,4,5,3,12
27,5,3,5,14
19,2,1,1,14
24,3,4,4,13
36,7,7,8,13
39,4,4,4,10
21,9,9,6,8
26,5,9,6,8
23,7,10,10,8
21,7,7,7,11
26,1,5,10,12
23,9,10,8,15
16,5,7,5,11
24,5,10,5,9
25,9,5,10,8
57,10,10,10,15
66,4,5,4,8
47,5,5,5,15
22,8,2,5,14
20,3,7,5,10
19,2,2,2,8
15,10,10,3,12
18,5,5,3,9
29,1,2,2,15
35,7,8,8,8
25,9,9,4,10
20,5,5,8,10
23,3,3,4,15
23,5,8,7,12
14,4,6,3,12
57,10,10,10,8
25,1,1,5,14
58,5,9,9,13
12,1,3,1,11
24,8,3,8,15
24,4,1,3,11
81,10,10,10,9
13,1,1,1,9
33,3,5,5,9
21,8,6,8,9
71,5,6,6,9
40,4,4,8,12
18,10,5,8,10
17,2,5,1,11
30,6,7,6,9
23,4,1,1,12
26,6,6,6,9
25,5,4,7,14
20,8,8,5,9
22,4,6,6,8
26,5,5,10,15
24,3,3,3,11
29,10,10,4,12
53,10,10,10,8
60,2,5,1,10
15,5,4,8,8
29,2,4,7,9
26,10,10,10,8
24,8,8,9,12
27,1,2,4,11
19,8,8,5,9
20,3,3,7,9
27,6,6,7,11
38,6,6,6,10
46,10,10,10,11
25,1,3,1,13
23,4,4,7,9
36,8,8,9,8
47,9,9,9,15
26,5,5,5,10
35,6,8,6,13
60,10,10,10,8
44,6,7,8,8
19,5,5,5,12
31,2,3,2,9
32,5,7,5,9
19,3,6,5,14
23,1,2,2,10
21,4,4,5,12
46,3,6,4,10
71,1,1,1,11
25,9,9,2,12
34,9,9,9,8
21,2,4,8,13
25,5,5,4,8
17,2,5,8,9
38,5,9,5,9
31,4,4,4,9
20,8,7,8,8
25,10,10,10,8
27,1,10,8,9
30,4,4,5,11
28,2,2,7,10
32,4,6,10,14
61,5,5,5,8
27,3,4,5,10
30,2,1,8,15
39,10,10,10,8
24,4,5,9,9
29,2,1,4,14
41,9,8,9,11
21,5,5,5,15
18,10,8,10,9
28,10,5,10,8
12,1,5,4,9
57,7,10,1,11
23,1,3,2,12
21,5,5,5,8
26,4,10,4,9
20,6,5,5,11
23,1,1,3,9
44,5,4,3,10
21,5,5,3,9
20,6,6,6,9
13,8,5,10,9
35,5,5,8,9
20,5,5,8,11
17,4,4,5,13
53,7,7,6,8
14,1,1,1,10
16,8,8,7,15
30,7,7,5,9
24,1,1,1,11
53,10,1,10,13
30,4,4,4,9
19,8,8,9,12
21,4,4,9,8
14,5,4,3,11
41,9,9,10,9
39,4,2,5,15
22,2,5,4,11
18,1,5,5,10
38,10,10,8,8
27,5,5,5,8
26,5,3,3,12
29,1,1,2,15
43,1,3,3,12
47,4,4,10,9
36,5,5,6,11
32,5,7,7,10
34,10,3,6,15
23,1,3,2,15
31,5,4,3,11
36,6,6,7,11
24,9,9,8,11
19,6,6,6,11
27,3,3,7,8
22,10,10,10,15
21,3,3,9,8
31,5,7,5,11
19,3,3,2,14
26,8,8,4,9
24,1,1,2,13
25,7,7,10,12
58,8,8,8,9
23,4,1,1,13
32,1,1,1,13
19,7,10,7,8
14,5,2,4,8
28,5,5,5,10
61,5,6,6,8
20,1,10,3,14
21,7,8,10,11
19,6,6,5,8
19,3,3,3,12
25,5,5,10,13
33,7,7,5,8
74,8,8,8,8
32,10,7,5,8
31,8,8,8,11
15,8,8,6,8
50,8,7,8,8
37,8,3,4,10
21,3,4,5,9
19,3,4,3,11
23,5,3,8,15
33,1,1,1,13
29,8,8,8,12
36,5,4,4,10
40,9,9,9,9
23,10,10,8,8
41,10,5,10,10
26,10,5,5,9
33,10,1,10,13
29,5,7,7,9
32,10,4,6,10
24,1,2,2,8
29,1,1,1,15
66,8,8,9,10
24,7,6,8,14
17,7,5,10,8
31,4,4,6,9
67,8,8,8,10
20,6,6,5,9
50,10,10,10,9
23,7,5,4,12
50,6,6,5,11
36,5,6,3,9
25,8,4,8,9
29,6,4,5,10
36,2,2,8,9
41,7,7,7,9
20,7,7,10,13
46,5,7,9,8
24,5,5,5,9
26,4,10,7,8
24,5,10,10,8
29,5,5,10,13
52,8,9,6,9
55,6,7,8,8
25,7,5,10,8
48,7,7,8,9
22,8,8,4,9
29,1,1,1,13
26,3,3,4,9
32,1,1,2,15
47,10,7,9,10
50,10,10,10,10
